customer_id,customer_name,city,phone,email
101,Aravinth,Bangalore,9876543210,aravinth@gmail.com
102,Priya,Bangalore,9999999999,priya@gmail.com
103,Rahul,Hyderabad,9988776655,rahul_new@gmail.com
104,Meena,Coimbatore,9876501234,meena@gmail.com
105,Karthik,Chennai,9000011111,karthik@gmail.com
106,Divya,Salem,9888811111,divya@gmail.com
107,Vijay,Erode,9777711111,vijay@gmail.com
108,Anitha,Trichy,9666611111,anitha@gmail.com
109,Suresh,Tirunelveli,9555511111,suresh@gmail.com
110,Kavya,Puducherry,9444411111,kavya@gmail.com
111,Naveen,Chennai,9000022222,naveen@gmail.com
112,Swathi,Bangalore,9000033333,swathi@gmail.com
